farm,event_id,event_label,event_start,event_start_id,event_end,event_end_id,event_description,component_primary,component_secondary,tag_confidence,tag_notes,additional_systems_mentioned,needs_manual_review
A,68,anomaly,2015-07-29 13:20:00,52063,2015-08-12 13:10:00,54076,Transformer failure,Transformer,,curated,"Explicit, unambiguous.",,False
A,22,anomaly,2021-08-11 09:50:00,51888,2021-08-18 10:00:00,52892,Hydraulic group,Hydraulic System,,curated,"Explicit, unambiguous.",,False
A,72,anomaly,2021-10-09 08:40:00,52497,2021-10-16 08:40:00,53505,Gearbox failure,Gearbox,,curated,"Explicit, unambiguous.",,False
A,73,anomaly,2023-06-09 11:40:00,52745,2023-06-16 11:40:00,53753,Hydraulic group,Hydraulic System,,curated,"Explicit, unambiguous.",,False
A,0,anomaly,2022-08-05 06:10:00,52436,2022-08-19 06:10:00,54447,Generator bearing failure,Generator,,curated,"Generator-side bearing is part of the Generator taxonomy entry ('Generator core and generator-side bearing'), not Main/Rotor Bearing, which is specifically the main shaft support bearing.",,False
A,26,anomaly,2020-10-11 10:20:00,52261,2020-10-18 10:20:00,53269,Hydraulic group,Hydraulic System,,curated,"Explicit, unambiguous.",,False
A,40,anomaly,2022-12-24 00:00:00,51363,2023-01-24 13:00:00,55870,Generator bearing failure,Generator,,curated,"Generator-side bearing is part of the Generator taxonomy entry ('Generator core and generator-side bearing'), not Main/Rotor Bearing, which is specifically the main shaft support bearing.",,False
A,42,anomaly,2023-09-08 15:50:00,52303,2023-09-15 15:50:00,53309,Hydraulic group,Hydraulic System,,curated,"Explicit, unambiguous.",,False
A,10,anomaly,2014-10-12 08:40:00,52611,2014-10-19 08:40:00,53591,Gearbox failure,Gearbox,,curated,"Explicit, unambiguous.",,False
A,45,anomaly,2020-04-18 18:10:00,52731,2020-04-25 18:10:00,53738,Hydraulic group,Hydraulic System,,curated,"Explicit, unambiguous.",,False
A,84,anomaly,2022-09-04 15:30:00,52623,2022-09-11 15:30:00,53627,Hydraulic group,Hydraulic System,,curated,"Explicit, unambiguous.",,False
A,25,normal,2023-05-22 06:50:00,52289,2023-06-04 02:30:00,54135,,Unclassified / No Description,,no_description,,,False
A,69,normal,2023-09-03 00:50:00,52364,2023-09-17 00:50:00,54380,,Unclassified / No Description,,no_description,,,False
A,13,normal,2023-05-02 13:20:00,50859,2023-05-23 10:20:00,53865,,Unclassified / No Description,,no_description,,,False
A,24,normal,2023-04-26 15:00:00,52720,2023-05-10 11:20:00,54714,,Unclassified / No Description,,no_description,,,False
A,3,normal,2020-04-26 03:00:00,52185,2020-05-17 01:10:00,55198,,Unclassified / No Description,,no_description,,,False
A,17,normal,2015-11-03 15:20:00,52597,2015-11-17 00:40:00,54513,,Unclassified / No Description,,no_description,,,False
A,38,normal,2021-06-30 15:40:00,52723,2021-07-14 07:40:00,54546,,Unclassified / No Description,,no_description,,,False
